RealShit,AAMC3_CP,AAMC3_CARS,AAMC3_BB,AAMC3_PS,AAMC2_CP,AAMC2_CARS,AAMC2_BB,AAMC2_PS,AAMC1_CP,AAMC1_CARS,AAMC1_BB,AAMC1_PS,AAMCsamp_CP,AAMCsamp_CARS,AAMCsamp_BB,AAMCsamp_PS
514,127,129,128,128,,,,,,,,,,,,
499,,,,,,,,,126,124,128,125,,,,
526,132,129,132,132,132,130,132,131,131,131,131,132,87,92,76,85
511,,,,,,,,,,,,,,,,
520,129,128,128,128,129,128,128,128,129,128,128,130,,,,
518,129,129,130,132,128,129,129,129,130,128,130,129,81,87,90,92
513,132,129,130,129,127,130,129,128,129,130,130,129,,,,
517,132,132,132,131,132,132,132,132,131,132,132,131,,,,
516,129,126,131,128,130,128,130,129,131,127,129,127,73,87,81,88
516,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,
523,132,128,132,130,,,,,129,128,132,131,,,,
508,127,127,129,128,128,127,130,129,128,128,129,130,,,,
523,129,129,127,131,129,129,128,127,127,128,130,127,,,,
527,132,128,132,131,131,132,131,130,131,132,132,129,,,,
525,132,131,132,132,132,132,132,130,130,128,130,129,81,89,83,75
513,129,125,128,128,128,125,126,128,128,126,125,128,71,81,63,86
524,130,130,130,130,130,130,130,128,130,128,131,131,86,87,85,88
504,,,,,,,,,,,,,,,,
508,132,126,131,131,130,124,130,127,130,123,130,127,92,77,92,81
512,129,128,128,126,,,,,,,,,,,,
525,130,130,131,131,131,132,130,130,132,131,132,131,88,96,92,93
522,128,131,132,132,127,130,130,130,128,132,130,130,64,94,95,95
525,130,130,129,130,132,128,130,130,130,130,129,128,90,83,76,86
517,129,128,129,130,128,127,127,130,129,130,129,130,,,,
512,126,129,126,128,126,129,127,126,126,128,128,129,63,81,76,85
499,,,,,,,,,,,,,33,42,,
519,,,,,,,,,,,,,,,,
524,129,130,130,129,130,132,130,130,129,132,131,129,78,92,88,86
515,,,,,,,,,,,,,,,,
516,128,130,130,126,130,128,128,126,129,127,127,126,,,,
523,,130,,,,,,,,,,,,,,
520,130,128,129,131,130,125,129,130,128,128,128,129,81,91,85,88
509,127,125,130,126,126,126,128,126,126,125,128,128,,,,
521,,,,,,,,,128,131,130,129,78,83,93,88
523,132,130,132,131,130,131,130,129,130,131,130,129,,,,
524,131,131,132,132,132,131,131,130,131,128,132,129,92,89,95,90
514,,,,,,,,,,,,,,,,
527,132,132,130,132,131,130,130,130,128,128,127,127,,,,
518,132,127,131,129,131,129,131,129,129,127,130,126,,,,
515,,,,,128,127,127,129,128,125,128,126,,,,
514,129,127,128,129,128,126,128,126,127,127,128,126,,,,
522,130,132,129,130,128,131,129,129,128,131,131,132,,,,
517,131,126,131,129,129,129,128,130,129,127,130,128,,,,
507,129,127,128,127,127,127,128,127,128,126,127,127,,,,
505,126,130,128,126,124,127,127,127,124,126,127,127,64,85,68,88
520,129,129,129,131,132,129,130,130,130,128,131,130,86,85,86,75
516,130,128,131,132,128,129,130,129,128,128,128,130,,,,
520,129,130,132,120,130,132,130,129,128,127,130,128,76,96,88,92
523,131,128,132,132,130,129,131,129,129,128,128,128,,,,
527,,,,,,,,,,,,,,,,
520,132,129,131,132,132,131,132,129,131,132,132,130,95,95,95,95
516,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,
512,,,,,128,130,128,129,128,128,130,128,,,,
519,,,,,,,,,,,,,,,,
510,129,126,130,126,129,123,130,129,127,125,129,129,75,83,86,90
515,129,130,128,129,127,130,130,128,127,131,128,129,,,,
521,,,,,,,,,,,,,,,,
519,130,129,130,132,131,129,130,131,127,126,128,129,,,,
516,127,131,128,130,,,,,127,132,127,130,54,92,73,78
518,128,132,128,131,127,130,128,129,124,130,128,127,73,94,81,88
523,131,131,132,130,130,130,132,130,130,128,131,129,93,89,97,90
507,,,,,124,127,125,126,124,126,126,127,,,,
519,130,128,132,131,130,130,128,127,124,132,126,124,,,,
526,132,130,132,131,131,131,131,132,131,130,130,129,95,92,92,90
521,,,,,,,,,,,,,,,,
502,125,123,126,125,,,,,,,,,,,,
521,132,125,132,131,131,124,131,128,131,123,132,128,,,,
517,129,129,128,130,130,128,130,127,128,125,128,126,,,,
519,132,128,130,131,130,130,128,127,130,128,126,130,87,96,90,92
520,,,,,,,,,,,,,,,,
522,129,128,130,130,129,128,130,130,127,125,127,128,69,85,78,90
521,130,131,130,131,127,130,127,127,130,130,131,129,85,92,88,83
522,,,,,,,,,,,,,,,,
515,129,130,130,129,125,128,127,128,128,128,127,129,,,,
511,129,128,127,127,127,128,127,127,127,126,128,129,,,,
524,132,128,132,132,131,130,131,131,132,128,130,129,95,89,92,88
510,,,,,,,,,,,,,,,,
512,129,125,130,131,130,128,129,129,129,124,130,129,81,92,81,86
516,,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,
510,132,129,128,128,,,,,128,127,128,127,,,,
508,124,127,127,127,124,125,125,124,124,124,127,123,,,,
515,,,,,,,,,,,,,,,,
522,130,130,132,132,132,130,132,130,132,128,131,131,90,90,90,90
516,130,130,126,131,130,127,127,130,130,128,128,129,76,96,68,85
522,130,131,129,129,128,127,129,129,130,129,129,127,85,89,80,83
490,128,120,125,126,,,,,,,,,,,,
512,127,126,127,127,127,126,128,128,126,127,126,123,,,,
514,129,127,128,129,127,126,130,127,127,126,128,128,58,85,69,83
525,,,,,,,,,,,,,,,,
524,129,127,130,130,127,128,129,128,127,125,128,128,80,87,81,86
495,125,124,125,128,126,127,124,127,125,125,125,126,,,,
517,,,,,130,128,129,126,128,129,128,128,,,,
512,130,130,131,132,130,130,127,130,130,128,129,130,,,,
505,127,123,127,124,126,126,126,123,125,126,128,123,,,,
516,130,128,131,130,130,131,129,127,129,129,129,127,0,0,0,0
514,,,,,,,,,,,,,,,,
503,,,,,,,,,,,,,,,,
497,120,125,124,123,,,,,122,129,128,126,,,,
508,125,129,126,128,127,128,128,126,125,127,128,128,,,,
518,130,127,128,130,129,128,128,127,130,131,128,130,80,85,80,92
516,129,127,129,132,129,128,130,128,130,130,132,130,,,,
514,127,126,130,130,128,127,128,127,128,127,129,129,,,,
520,130,130,129,131,130,131,130,128,130,130,130,129,,,,
521,128,129,128,130,128,130,128,127,126,131,127,132,,,,
524,,,,,130,130,128,127,130,129,130,127,83,89,78,75
508,,,,,,,,,127,124,127,127,,,,
502,126,125,127,128,122,127,124,127,124,126,126,127,,,,
507,,,,,,,,,,,,,,,,
517,130,126,131,126,129,127,128,127,128,128,130,129,86,83,86,95
525,132,130,132,129,132,129,131,130,130,130,132,131,130,130,132,127
522,129,132,130,130,129,130,127,129,128,130,128,127,,,,
509,130,130,129,127,130,126,126,129,129,126,128,129,88,89,83,88
515,,,,,,,,,,,,,,,,
522,130,126,130,130,129,129,131,126,129,127,130,129,,,,
524,128,128,129,132,129,129,129,129,127,130,130,132,,,,
